"Curso","Ordem de prioridade do curso","Nota da qualificacao anterior","Nota de admissao","Deslocado","Necessidades educacionais especiais","Devedor","Genero","Bolsista","Idade na inscricao","Internacional","Materias do primeiro semestre aprovadas","Media das notas do primeiro semestre","Resultado"
"Nursing",6,103,100.6,"Sim","Sim","Nao","Mulher","Nao",22,"Nao",5,13.928,"Graduado"
"Journalism and Communication",1,120,121.4,"Nao","Nao","Nao","Mulher","Nao",20,"Nao",4,13,"Desistente"
"Management (Noturno)",1,133.1,109.7,"Nao","Nao","Nao","Mulher","Nao",29,"Nao",0,0,"Desistente"
"Management (Noturno)",1,154,134.1,"Nao","Nao","Nao","Mulher","Nao",24,"Nao",2,11.5,"Matriculado"
"Social Service",2,130,127.6,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",6,11.6666666666667,"Graduado"
"Nursing",6,132,132.4,"Sim","Nao","Nao","Mulher","Sim",22,"Nao",6,13.5166666666667,"Graduado"
"Social Service (Noturno)",1,130,133.4,"Nao","Nao","Nao","Mulher","Sim",21,"Nao",6,11.5,"Graduado"
"Social Service",1,139,126.1,"Nao","Nao","Nao","Mulher","Sim",19,"Nao",5,12.3333333333333,"Graduado"
"Tourism",1,130,113.5,"Nao","Nao","Nao","Mulher","Sim",24,"Nao",6,13.6666666666667,"Graduado"
"Nursing",1,139,121.3,"Sim","Nao","Nao","Mulher","Sim",19,"Nao",6,11.8333333333333,"Matriculado"
"Journalism and Communication",1,127,121.8,"Sim","Nao","Nao","Mulher","Sim",20,"Nao",4,14,"Matriculado"
"Equinculture",3,167,159.3,"Nao","Nao","Nao","Mulher","Nao",19,"Nao",5,14.7142857142857,"Graduado"
"Management (Noturno)",1,130,120,"Nao","Nao","Nao","Mulher","Nao",27,"Nao",5,10.6,"Desistente"
"Nursing",1,130,129.1,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",7,13.0444444444444,"Graduado"
"Tourism",1,130,130,"Nao","Nao","Nao","Mulher","Nao",39,"Nao",0,0,"Desistente"
"Equinculture",1,129,155.3,"Sim","Nao","Nao","Mulher","Nao",27,"Nao",5,13,"Desistente"
"Nursing",1,141,139.8,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",8,14.935,"Graduado"
"Animation and Multimedia Design",3,125,115.2,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",0,0,"Matriculado"
"Nursing",2,125,114.9,"Nao","Nao","Nao","Mulher","Nao",18,"Nao",6,13.1333333333333,"Graduado"
"Social Service",1,130,131.9,"Nao","Nao","Nao","Mulher","Sim",21,"Nao",6,12,"Graduado"
"Animation and Multimedia Design",3,133,126,"Sim","Nao","Nao","Homem","Sim",19,"Nao",0,0,"Matriculado"
"Communication Design",1,127,130.2,"Sim","Nao","Nao","Homem","Nao",19,"Nao",5,11.4,"Matriculado"
"Communication Design",1,116,120.9,"Nao","Nao","Nao","Homem","Nao",24,"Nao",0,0,"Matriculado"
"Nursing",1,133.1,126,"Sim","Nao","Nao","Homem","Nao",29,"Nao",5,11.9,"Desistente"
"Animation and Multimedia Design",3,139,128.2,"Sim","Nao","Nao","Homem","Sim",19,"Nao",0,0,"Graduado"
"Agronomy",1,130,130,"Sim","Nao","Nao","Homem","Nao",23,"Nao",6,12.5714285714286,"Graduado"
"Management",3,125,120.1,"Nao","Nao","Sim","Homem","Nao",19,"Nao",5,11.2,"Desistente"
"Tourism",1,160,100,"Nao","Nao","Nao","Homem","Nao",26,"Nao",6,12,"Matriculado"
"Management",1,148,134,"Nao","Nao","Nao","Homem","Nao",18,"Nao",0,0,"Matriculado"
"Nursing",1,150,130.8,"Nao","Nao","Nao","Homem","Nao",24,"Nao",7,11.975,"Graduado"
"Animation and Multimedia Design",1,141,135.8,"Sim","Nao","Nao","Homem","Nao",19,"Nao",0,0,"Desistente"
"Tourism",4,118,111.7,"Sim","Nao","Nao","Homem","Nao",18,"Nao",3,11.6666666666667,"Desistente"
"Journalism and Communication",2,142,132.9,"Sim","Nao","Nao","Homem","Nao",18,"Nao",6,12.3333333333333,"Graduado"
"Management",3,120,115.5,"Sim","Nao","Sim","Homem","Nao",18,"Nao",3,10.3333333333333,"Desistente"
"Tourism",4,106,106,"Sim","Nao","Nao","Homem","Sim",21,"Nao",4,10.5,"Desistente"
"Journalism and Communication",4,121,120.3,"Sim","Nao","Sim","Homem","Sim",19,"Nao",6,13.6666666666667,"Graduado"
"Nursing",4,150,130.8,"Nao","Nao","Nao","Homem","Sim",22,"Nao",7,14.8428571428571,"Graduado"
"Social Service (Noturno)",1,120,117,"Nao","Nao","Nao","Homem","Nao",33,"Nao",6,12,"Graduado"
"Basic Education",6,114,110.2,"Sim","Nao","Nao","Homem","Nao",20,"Nao",5,12.2,"Desistente"
"Management (Noturno)",1,140,155.7,"Sim","Nao","Nao","Homem","Nao",35,"Nao",0,0,"Desistente"
"Agronomy",1,160,180.4,"Nao","Nao","Sim","Homem","Nao",24,"Nao",6,12.1666666666667,"Desistente"
"Tourism",1,120,125.5,"Nao","Nao","Nao","Homem","Nao",18,"Nao",5,12,"Matriculado"
"Social Service (Noturno)",1,130,110,"Sim","Nao","Nao","Mulher","Nao",33,"Nao",6,11,"Graduado"
"Nursing",1,160,161,"Sim","Nao","Nao","Mulher","Sim",22,"Nao",7,13.08,"Graduado"
"Advertising and Marketing Management",1,120,100,"Nao","Nao","Nao","Mulher","Sim",25,"Nao",4,10.5,"Graduado"
"Communication Design",1,124,117.6,"Sim","Nao","Nao","Homem","Nao",20,"Nao",6,10.6666666666667,"Graduado"
"Management",6,143,128.7,"Sim","Nao","Nao","Homem","Nao",23,"Nao",4,14,"Matriculado"
"Informatics Engineering",2,115,112.2,"Sim","Nao","Sim","Homem","Nao",18,"Nao",2,10,"Matriculado"
"Nursing",1,133.1,100.8,"Nao","Nao","Nao","Homem","Nao",24,"Nao",0,0,"Desistente"
"Journalism and Communication",2,133.1,105,"Sim","Nao","Nao","Mulher","Nao",21,"Sim",6,14,"Graduado"
"Equinculture",1,133.1,100,"Nao","Nao","Nao","Mulher","Nao",26,"Sim",2,12,"Desistente"
"Basic Education",1,133.1,115.5,"Nao","Nao","Nao","Mulher","Nao",39,"Nao",3,12.6666666666667,"Desistente"
"Social Service (Noturno)",1,133.1,114,"Nao","Nao","Nao","Mulher","Nao",44,"Nao",8,11.875,"Graduado"
"Informatics Engineering",1,130,137,"Sim","Nao","Nao","Homem","Nao",19,"Sim",5,14,"Matriculado"
"Journalism and Communication",5,135,124.9,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",6,13.6666666666667,"Graduado"
"Nursing",5,132,120.3,"Sim","Nao","Nao","Mulher","Sim",18,"Nao",7,13.75,"Graduado"
"Veterinary Nursing",1,135,134.3,"Sim","Nao","Nao","Mulher","Nao",19,"Nao",5,14.2,"Matriculado"
"Nursing",4,115,111.5,"Sim","Nao","Sim","Mulher","Nao",19,"Nao",4,11.96,"Desistente"
"Veterinary Nursing",1,130,128.8,"Nao","Nao","Nao","Mulher","Nao",21,"Nao",8,12.875,"Desistente"
"Animation and Multimedia Design",4,133.1,110,"Sim","Nao","Nao","Mulher","Nao",20,"Nao",0,0,"Graduado"
"Social Service (Noturno)",1,130,113.5,"Sim","Nao","Nao","Mulher","Nao",36,"Nao",0,0,"Desistente"
"Agronomy",1,133.1,160,"Nao","Nao","Nao","Mulher","Nao",43,"Nao",18,14.6315789473684,"Graduado"
"Basic Education",1,123,117.4,"Sim","Nao","Nao","Mulher","Nao",19,"Nao",0,0,"Desistente"
"Communication Design",1,130,122.2,"Nao","Nao","Sim","Mulher","Nao",20,"Nao",10,13,"Graduado"
"Social Service",2,122,118.2,"Sim","Nao","Nao","Mulher","Nao",19,"Nao",0,0,"Desistente"
"Veterinary Nursing",1,113,106.7,"Sim","Nao","Nao","Mulher","Nao",20,"Nao",4,14.2,"Desistente"
"Nursing",5,111,108.2,"Sim","Nao","Nao","Mulher","Nao",20,"Nao",6,13.2666666666667,"Desistente"
"Basic Education",2,133.1,107,"Sim","Nao","Nao","Mulher","Nao",20,"Nao",6,11.6666666666667,"Matriculado"
"Social Service",1,142,136.1,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",6,13.8571428571429,"Graduado"
"Management",2,123,115.3,"Sim","Nao","Nao","Mulher","Sim",18,"Nao",3,13,"Matriculado"
"Veterinary Nursing",1,131,139.8,"Sim","Nao","Nao","Mulher","Nao",19,"Nao",5,13.4,"Graduado"
"Journalism and Communication",3,158,157,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",6,12.6666666666667,"Graduado"
"Nursing",2,122,131,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",6,12.5166666666667,"Desistente"
"Nursing",1,130,100,"Nao","Nao","Nao","Mulher","Nao",20,"Nao",6,11.6166666666667,"Matriculado"
"Social Service",1,154,140.4,"Sim","Nao","Nao","Mulher","Sim",20,"Nao",2,10,"Matriculado"
"Management",1,120,113.4,"Nao","Nao","Nao","Mulher","Nao",20,"Nao",3,10.3333333333333,"Matriculado"
"Veterinary Nursing",2,140,137,"Nao","Nao","Nao","Mulher","Nao",18,"Nao",5,13.1428571428571,"Graduado"
"Management",1,127,121.8,"Nao","Nao","Nao","Mulher","Nao",18,"Nao",5,12.6,"Graduado"
"Tourism",1,133.1,131,"Sim","Nao","Nao","Mulher","Nao",21,"Nao",3,11,"Desistente"
"Management",2,120,118.6,"Sim","Nao","Nao","Mulher","Nao",19,"Nao",5,10.8,"Graduado"
"Animation and Multimedia Design",1,137,122.3,"Nao","Nao","Nao","Mulher","Nao",19,"Nao",0,0,"Desistente"
"Advertising and Marketing Management",1,131,127.9,"Nao","Nao","Nao","Mulher","Sim",19,"Nao",5,12.8,"Graduado"
"Veterinary Nursing",1,130,121.3,"Sim","Nao","Nao","Mulher","Nao",19,"Nao",6,14.1666666666667,"Graduado"
"Oral Hygiene",6,122,117.1,"Sim","Nao","Nao","Mulher","Nao",19,"Nao",5,12.1,"Desistente"
"Veterinary Nursing",1,160,160,"Sim","Nao","Nao","Mulher","Nao",20,"Nao",6,14.1666666666667,"Graduado"
"Basic Education",1,146,145.3,"Sim","Nao","Nao","Mulher","Sim",18,"Nao",5,12.8,"Matriculado"
"Social Service",3,131,122.6,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",6,13,"Graduado"
"Nursing",6,132,128,"Sim","Nao","Nao","Mulher","Nao",19,"Nao",7,13.4671428571429,"Graduado"
"Nursing",3,138,124.9,"Sim","Nao","Nao","Mulher","Sim",18,"Nao",7,13.2375,"Desistente"
"Communication Design",2,130,123.7,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",6,12.3333333333333,"Graduado"
"Management",4,126,120.1,"Sim","Nao","Nao","Mulher","Nao",19,"Nao",5,12.4,"Graduado"
"Nursing",6,148,131.7,"Sim","Nao","Nao","Mulher","Nao",19,"Nao",5,14,"Desistente"
"Social Service",1,130,133.2,"Nao","Nao","Nao","Mulher","Nao",20,"Nao",9,11.6666666666667,"Graduado"
"Advertising and Marketing Management",1,117,109.3,"Nao","Nao","Sim","Mulher","Sim",19,"Nao",5,12,"Desistente"
"Advertising and Marketing Management",1,120,113,"Sim","Nao","Nao","Mulher","Nao",20,"Nao",4,12.2,"Graduado"
"Journalism and Communication",1,153,157.9,"Nao","Nao","Sim","Mulher","Sim",18,"Nao",6,14.8333333333333,"Graduado"
"Nursing",2,117,112.1,"Nao","Nao","Nao","Mulher","Sim",20,"Nao",5,13.188,"Matriculado"
"Nursing",1,178,174.7,"Nao","Nao","Nao","Mulher","Nao",18,"Nao",7,17.125,"Graduado"
"Nursing",5,129,128.8,"Sim","Nao","Nao","Mulher","Nao",19,"Nao",6,12.6666666666667,"Graduado"
"Journalism and Communication",6,116,110.1,"Sim","Nao","Nao","Mulher","Sim",19,"Nao",6,12.6666666666667,"Graduado"
"Management",1,99,99.7,"Sim","Nao","Sim","Mulher","Nao",22,"Nao",0,0,"Matriculado"
"Social Service",3,135,121,"Sim","Nao","Nao","Mulher","Sim",19,"Nao",6,11.3333333333333,"Graduado"
"Nursing",3,141,131.7,"Sim","Nao","Nao","Mulher","Sim",19,"Nao",7,13.605,"Graduado"
"Basic Education",5,132,119.1,"Sim","Nao","Nao","Mulher","Sim",19,"Nao",5,12,"Graduado"
"Tourism",4,132,124.7,"Sim","Nao","Nao","Mulher","Nao",19,"Nao",0,0,"Desistente"
"Tourism",1,113,117.2,"Sim","Nao","Nao","Mulher","Nao",20,"Nao",5,11.2,"Desistente"
"Management",1,134,128.8,"Nao","Nao","Nao","Mulher","Nao",18,"Nao",5,13.375,"Graduado"
"Nursing",1,136,131.5,"Nao","Nao","Nao","Mulher","Sim",20,"Nao",6,13.8633333333333,"Graduado"
"Animation and Multimedia Design",1,136,121.7,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",0,0,"Matriculado"
"Veterinary Nursing",1,129,123.4,"Nao","Nao","Nao","Mulher","Nao",19,"Nao",5,12.4,"Graduado"
"Basic Education",1,138,124.7,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",3,12.3333333333333,"Matriculado"
"Basic Education",1,137,132.8,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",6,13.3333333333333,"Graduado"
"Basic Education",1,115,108.7,"Sim","Nao","Nao","Mulher","Nao",21,"Nao",3,12.6666666666667,"Desistente"
"Basic Education",1,129,138.1,"Nao","Nao","Nao","Mulher","Nao",19,"Nao",6,12,"Desistente"
"Management",1,131,126.5,"Nao","Nao","Nao","Mulher","Sim",18,"Nao",5,10.6,"Graduado"
"Social Service",2,133,127.4,"Sim","Nao","Nao","Mulher","Sim",18,"Nao",6,12.25,"Graduado"
"Social Service",3,125,123.6,"Sim","Nao","Nao","Mulher","Nao",20,"Nao",4,11,"Graduado"
"Social Service (Noturno)",1,120,122,"Nao","Nao","Nao","Mulher","Sim",24,"Nao",5,11,"Graduado"
"Advertising and Marketing Management",1,128,118.2,"Nao","Nao","Nao","Mulher","Nao",19,"Nao",6,13.1666666666667,"Desistente"
"Nursing",1,127,123.9,"Sim","Nao","Nao","Mulher","Sim",18,"Nao",7,12.8555555555556,"Graduado"
"Nursing",2,134,125.8,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",7,14.91875,"Graduado"
"Basic Education",5,132,123.3,"Sim","Nao","Nao","Mulher","Nao",21,"Nao",4,11.5,"Desistente"
"Advertising and Marketing Management",2,124,124.4,"Nao","Nao","Nao","Mulher","Nao",19,"Nao",5,14.2,"Graduado"
"Journalism and Communication",1,133.1,126,"Nao","Nao","Nao","Mulher","Sim",19,"Nao",6,12.5,"Graduado"
"Agronomy",1,170,170,"Nao","Nao","Sim","Mulher","Nao",47,"Nao",0,0,"Matriculado"
"Social Service",3,125,121.5,"Nao","Nao","Nao","Mulher","Nao",19,"Nao",5,11.6666666666667,"Graduado"
"Nursing",1,130,130,"Nao","Nao","Nao","Mulher","Nao",29,"Nao",7,14.2571428571429,"Graduado"
"Social Service",1,125,117,"Sim","Nao","Nao","Mulher","Nao",21,"Nao",3,12,"Desistente"
"Veterinary Nursing",1,130,130,"Sim","Nao","Nao","Mulher","Nao",28,"Nao",4,11.25,"Matriculado"
"Oral Hygiene",2,133.1,108,"Nao","Nao","Nao","Mulher","Nao",20,"Nao",7,12.4571428571429,"Graduado"
"Nursing",1,131,132.3,"Sim","Nao","Nao","Mulher","Nao",19,"Nao",6,11.6833333333333,"Graduado"
"Social Service (Noturno)",1,150,148,"Nao","Nao","Nao","Mulher","Nao",26,"Nao",3,11.6666666666667,"Graduado"
"Tourism",2,125,122.6,"Sim","Nao","Sim","Mulher","Nao",20,"Nao",4,11.75,"Desistente"
"Advertising and Marketing Management",1,131,123,"Sim","Nao","Nao","Mulher","Sim",18,"Nao",3,11.6666666666667,"Matriculado"
"Basic Education",1,130,102.5,"Nao","Nao","Nao","Mulher","Nao",27,"Nao",5,13.2,"Graduado"
"Nursing",2,123,113.3,"Sim","Nao","Nao","Mulher","Nao",20,"Nao",4,11.95,"Desistente"
"Basic Education",5,141,133,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",5,12.4,"Desistente"
"Nursing",1,140,140,"Nao","Nao","Nao","Mulher","Nao",33,"Nao",6,14.35,"Desistente"
"Basic Education",1,140,128.3,"Sim","Nao","Nao","Mulher","Nao",35,"Nao",21,12.6190476190476,"Graduado"
"Management (Noturno)",1,140,140,"Nao","Nao","Nao","Mulher","Sim",26,"Nao",6,12.6666666666667,"Matriculado"
"Journalism and Communication",1,133.1,104,"Nao","Nao","Sim","Mulher","Nao",27,"Nao",5,12,"Desistente"
"Communication Design",3,131,122.3,"Sim","Nao","Nao","Mulher","Nao",19,"Nao",6,12.1666666666667,"Desistente"
"Tourism",2,143,135,"Nao","Nao","Nao","Mulher","Nao",20,"Nao",0,0,"Desistente"
"Management",2,132,119.1,"Sim","Nao","Sim","Mulher","Nao",20,"Nao",3,10,"Desistente"
"Social Service",1,143,126.6,"Nao","Nao","Sim","Mulher","Nao",21,"Nao",8,11.5,"Matriculado"
"Nursing",3,141,129,"Sim","Nao","Nao","Mulher","Sim",18,"Nao",6,13.05,"Graduado"
"Veterinary Nursing",1,133.1,162.3,"Sim","Nao","Nao","Mulher","Nao",24,"Nao",2,11,"Desistente"
"Communication Design",4,148,163.4,"Sim","Nao","Nao","Mulher","Nao",20,"Nao",6,11.5,"Graduado"
"Tourism",1,125,121.5,"Nao","Nao","Nao","Mulher","Sim",21,"Nao",6,12,"Graduado"
"Social Service (Noturno)",1,120,122.8,"Nao","Nao","Nao","Mulher","Nao",23,"Nao",2,10,"Matriculado"
"Management",1,140,118,"Sim","Nao","Nao","Mulher","Nao",24,"Nao",0,0,"Desistente"
"Basic Education",1,139,134,"Nao","Nao","Nao","Mulher","Nao",21,"Nao",0,0,"Desistente"
"Nursing",4,142,129.8,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",7,12.2428571428571,"Graduado"
"Management (Noturno)",1,130,152,"Sim","Nao","Nao","Mulher","Nao",27,"Nao",0,0,"Desistente"
"Nursing",6,126,122.8,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",8,12.93375,"Graduado"
"Informatics Engineering",1,150,150,"Nao","Nao","Nao","Mulher","Nao",35,"Nao",0,0,"Desistente"
"Basic Education",1,130,131.8,"Nao","Nao","Nao","Mulher","Nao",18,"Nao",7,12.5714285714286,"Graduado"
"Nursing",1,120,105.9,"Nao","Nao","Nao","Mulher","Nao",35,"Nao",3,11.8166666666667,"Matriculado"
"Veterinary Nursing",1,138,132.1,"Sim","Nao","Nao","Mulher","Nao",19,"Nao",4,13.75,"Graduado"
"Social Service",4,127,127.4,"Sim","Nao","Nao","Mulher","Nao",20,"Nao",6,11.1666666666667,"Graduado"
"Nursing",4,140,129.5,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",7,12.3242857142857,"Graduado"
"Social Service",1,130,126.7,"Nao","Nao","Sim","Mulher","Nao",21,"Nao",6,12.1666666666667,"Graduado"
"Social Service",2,128,116.5,"Nao","Nao","Nao","Mulher","Sim",18,"Nao",5,11.1428571428571,"Graduado"
"Social Service",1,132,119.1,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",4,11,"Graduado"
"Nursing",2,149,126.5,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",7,12.9142857142857,"Graduado"
"Journalism and Communication",4,155,149.8,"Sim","Nao","Nao","Mulher","Sim",18,"Nao",6,13.8333333333333,"Graduado"
"Veterinary Nursing",1,120,115.1,"Sim","Nao","Nao","Mulher","Nao",19,"Nao",6,13.8571428571429,"Graduado"
"Tourism",1,133.1,124.5,"Nao","Nao","Nao","Mulher","Sim",36,"Nao",6,13.7142857142857,"Desistente"
"Nursing",2,131,128.3,"Sim","Nao","Nao","Mulher","Sim",18,"Nao",7,12.6428571428571,"Graduado"
"Nursing",1,149,136,"Nao","Nao","Nao","Mulher","Sim",18,"Nao",6,12.9166666666667,"Graduado"
"Equinculture",1,140,140,"Sim","Nao","Nao","Mulher","Sim",20,"Nao",6,15.625,"Graduado"
"Management (Noturno)",1,133.1,126.3,"Nao","Nao","Nao","Mulher","Sim",26,"Nao",0,0,"Desistente"
"Journalism and Communication",1,122,126.9,"Nao","Nao","Nao","Mulher","Nao",21,"Nao",6,11.7142857142857,"Graduado"
"Oral Hygiene",1,130,145,"Nao","Nao","Nao","Mulher","Nao",25,"Nao",6,12.125,"Matriculado"
"Management",1,121,115.8,"Sim","Nao","Nao","Mulher","Sim",19,"Nao",5,11.6,"Graduado"
"Social Service (Noturno)",1,120,100,"Sim","Nao","Nao","Mulher","Nao",24,"Nao",1,10,"Desistente"
"Social Service (Noturno)",1,133.1,102.5,"Nao","Nao","Nao","Mulher","Sim",27,"Nao",1,10,"Desistente"
"Veterinary Nursing",1,121,131.5,"Nao","Nao","Nao","Mulher","Nao",21,"Nao",0,0,"Desistente"
"Management",1,133,147,"Nao","Nao","Nao","Mulher","Sim",18,"Nao",4,13,"Graduado"
"Basic Education",4,134,122.5,"Nao","Sim","Nao","Mulher","Sim",19,"Nao",6,13.3333333333333,"Graduado"
"Tourism",3,115,117.5,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",4,11.25,"Desistente"
"Nursing",1,127,150,"Nao","Nao","Nao","Mulher","Sim",19,"Nao",5,13.85,"Graduado"
"Nursing",1,135,127.5,"Sim","Nao","Nao","Mulher","Sim",19,"Nao",6,13.7416666666667,"Graduado"
"Management (Noturno)",1,140,140,"Nao","Nao","Nao","Mulher","Nao",33,"Nao",6,15.3333333333333,"Graduado"
"Management",1,130,130,"Nao","Nao","Nao","Mulher","Nao",45,"Nao",5,11,"Graduado"
"Social Service",1,135,133.3,"Nao","Nao","Nao","Mulher","Sim",20,"Nao",6,12,"Graduado"
"Advertising and Marketing Management",2,140,97,"Sim","Nao","Nao","Mulher","Nao",28,"Nao",0,0,"Desistente"
"Nursing",1,120,112,"Sim","Nao","Nao","Mulher","Sim",19,"Nao",7,11.5714285714286,"Graduado"
"Tourism",2,140,123.6,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",6,12.8571428571429,"Graduado"
"Tourism",1,133.1,130.5,"Nao","Nao","Nao","Mulher","Nao",38,"Nao",0,0,"Desistente"
"Advertising and Marketing Management",2,135,133.3,"Nao","Nao","Nao","Mulher","Nao",19,"Nao",5,13,"Graduado"
"Tourism",1,123,132.1,"Nao","Nao","Nao","Mulher","Sim",21,"Nao",5,11,"Graduado"
"Management",1,133.1,100,"Nao","Nao","Nao","Mulher","Nao",21,"Nao",3,12,"Desistente"
